event_id,reporting_year,trust_code,trust_name,region,site_code,ward_type,bed_id,discharge_ts,cleaning_start_ts,cleaning_complete_ts,maintenance_clear_ts,equipment_ready_ts,isolation_clear_ts,bed_ready_ts,turnaround_target_minutes,turnaround_minutes,turnaround_bucket,within_target,primary_blocker,queue_delay_minutes,cleaning_minutes,porter_delay_minutes,equipment_delay_minutes,maintenance_delay_minutes,isolation_delay_minutes,clinical_hold_minutes
BED-RYJ-2023-00020,2023/24,RYJ,IMPERIAL COLLEGE HEALTHCARE NHS TRUST,LONDON COMMISSIONING REGION,RYJ-SITE-06,Medical Ward,RYJ-06-0020,2024-02-04T02:20:00,2024-02-04T02:41:00,2024-02-04T03:27:00,2024-02-04T03:56:00,2024-02-04T03:27:00,2024-02-04T06:17:00,2024-02-04T06:17:00,120,237,2-4 hours,No,Deep clean / isolation reset,21,46,0,0,29,170,0
BED-RYJ-2023-00021,2023/24,RYJ,IMPERIAL COLLEGE HEALTHCARE NHS TRUST,LONDON COMMISSIONING REGION,RYJ-SITE-02,General Ward,RYJ-02-0021,2023-09-28T13:40:00,2023-09-28T13:56:00,2023-09-28T14:19:00,2023-09-28T14:19:00,2023-09-28T14:19:00,2023-09-28T14:19:00,2023-09-28T14:19:00,120,39,Under 1 hour,Yes,No major blocker,16,23,0,0,0,0,0
BED-RYJ-2023-00022,2023/24,RYJ,IMPERIAL COLLEGE HEALTHCARE NHS TRUST,LONDON COMMISSIONING REGION,RYJ-SITE-06,Medical Ward,RYJ-06-0022,2024-01-09T16:10:00,2024-01-09T16:39:00,2024-01-09T17:10:00,2024-01-09T19:53:00,2024-01-09T18:01:00,2024-01-09T17:10:00,2024-01-09T19:53:00,120,223,2-4 hours,No,Maintenance clearance,22,31,7,51,163,0,0
BED-RYJ-2023-00023,2023/24,RYJ,IMPERIAL COLLEGE HEALTHCARE NHS TRUST,LONDON COMMISSIONING REGION,RYJ-SITE-04,Medical Ward,RYJ-04-0023,2024-01-17T07:40:00,2024-01-17T07:55:00,2024-01-17T08:42:00,2024-01-17T08:42:00,2024-01-17T10:37:00,2024-01-17T08:42:00,2024-01-17T10:37:00,120,177,2-4 hours,No,Equipment not ready,15,47,0,115,0,0,0
BED-RYJ-2023-00024,2023/24,RYJ,IMPERIAL COLLEGE HEALTHCARE NHS TRUST,LONDON COMMISSIONING REGION,RYJ-SITE-03,Surgical Ward,RYJ-03-0024,2023-08-17T12:20:00,2023-08-17T13:44:00,2023-08-17T14:14:00,2023-08-17T14:14:00,2023-08-17T14:14:00,2023-08-17T14:14:00,2023-08-17T14:14:00,120,114,1-2 hours,Yes,Clinical hold / late discharge,8,30,0,0,0,0,76
BED-RYJ-2023-00025,2023/24,RYJ,IMPERIAL COLLEGE HEALTHCARE NHS TRUST,LONDON COMMISSIONING REGION,RYJ-SITE-02,Medical Ward,RYJ-02-0025,2023-06-17T13:10:00,2023-06-17T13:23:00,2023-06-17T13:54:00,2023-06-17T13:54:00,2023-06-17T13:54:00,2023-06-17T13:54:00,2023-06-17T13:54:00,120,44,Under 1 hour,Yes,No major blocker,13,31,0,0,0,0,0
BED-RYJ-2023-00026,2023/24,RYJ,IMPERIAL COLLEGE HEALTHCARE NHS TRUST,LONDON COMMISSIONING REGION,RYJ-SITE-05,General Ward,RYJ-05-0026,2024-03-10T10:30:00,2024-03-10T10:52:00,2024-03-10T11:11:00,2024-03-10T11:11:00,2024-03-10T11:11:00,2024-03-10T11:11:00,2024-03-10T11:11:00,120,41,Under 1 hour,Yes,No major blocker,22,19,0,0,0,0,0
BED-RYJ-2023-00027,2023/24,RYJ,IMPERIAL COLLEGE HEALTHCARE NHS TRUST,LONDON COMMISSIONING REGION,RYJ-SITE-06,Surgical Ward,RYJ-06-0027,2023-10-19T13:10:00,2023-10-19T14:40:00,2023-10-19T15:03:00,2023-10-19T15:03:00,2023-10-19T16:08:00,2023-10-19T15:03:00,2023-10-19T16:08:00,120,178,2-4 hours,No,Clinical hold / late discharge,21,23,6,65,0,0,63
BED-RYJ-2023-00028,2023/24,RYJ,IMPERIAL COLLEGE HEALTHCARE NHS TRUST,LONDON COMMISSIONING REGION,RYJ-SITE-03,Medical Ward,RYJ-03-0028,2023-08-11T06:10:00,2023-08-11T06:50:00,2023-08-11T07:40:00,2023-08-11T09:45:00,2023-08-11T07:40:00,2023-08-11T07:40:00,2023-08-11T09:45:00,120,215,2-4 hours,No,Cleaning queue,40,50,0,0,125,0,0
BED-RYJ-2023-00029,2023/24,RYJ,IMPERIAL COLLEGE HEALTHCARE NHS TRUST,LONDON COMMISSIONING REGION,RYJ-SITE-02,General Ward,RYJ-02-0029,2023-05-05T07:40:00,2023-05-05T08:32:00,2023-05-05T09:20:00,2023-05-05T09:20:00,2023-05-05T09:20:00,2023-05-05T09:20:00,2023-05-05T09:20:00,120,100,1-2 hours,Yes,Cleaning queue,52,48,0,0,0,0,0
BED-RYJ-2023-00030,2023/24,RYJ,IMPERIAL COLLEGE HEALTHCARE NHS TRUST,LONDON COMMISSIONING REGION,RYJ-SITE-05,General Ward,RYJ-05-0030,2023-07-30T10:50:00,2023-07-30T10:56:00,2023-07-30T11:37:00,2023-07-30T14:32:00,2023-07-30T12:27:00,2023-07-30T11:37:00,2023-07-30T14:32:00,120,222,2-4 hours,No,Maintenance clearance,6,41,0,50,175,0,0
BED-RYJ-2023-00031,2023/24,RYJ,IMPERIAL COLLEGE HEALTHCARE NHS TRUST,LONDON COMMISSIONING REGION,RYJ-SITE-01,General Ward,RYJ-01-0031,2023-04-06T09:40:00,2023-04-06T10:30:00,2023-04-06T11:18:00,2023-04-06T11:18:00,2023-04-06T11:18:00,2023-04-06T11:18:00,2023-04-06T11:18:00,120,98,1-2 hours,Yes,Awaiting porter / room release,15,48,35,0,0,0,0
BED-RYJ-2023-00032,2023/24,RYJ,IMPERIAL COLLEGE HEALTHCARE NHS TRUST,LONDON COMMISSIONING REGION,RYJ-SITE-01,General Ward,RYJ-01-0032,2023-08-27T22:50:00,2023-08-27T23:51:00,2023-08-28T00:13:00,2023-08-28T00:13:00,2023-08-28T01:11:00,2023-08-28T00:13:00,2023-08-28T01:11:00,120,141,2-4 hours,No,Cleaning queue,61,22,0,58,0,0,0
BED-RYJ-2023-00033,2023/24,RYJ,IMPERIAL COLLEGE HEALTHCARE NHS TRUST,LONDON COMMISSIONING REGION,RYJ-SITE-02,Surgical Ward,RYJ-02-0033,2023-10-19T07:30:00,2023-10-19T07:54:00,2023-10-19T08:17:00,2023-10-19T08:17:00,2023-10-19T09:41:00,2023-10-19T08:17:00,2023-10-19T09:41:00,120,131,2-4 hours,No,Equipment not ready,24,23,0,84,0,0,0
BED-RYJ-2023-00034,2023/24,RYJ,IMPERIAL COLLEGE HEALTHCARE NHS TRUST,LONDON COMMISSIONING REGION,RYJ-SITE-01,General Ward,RYJ-01-0034,2023-06-30T08:00:00,2023-06-30T08:46:00,2023-06-30T09:32:00,2023-06-30T09:32:00,2023-06-30T09:32:00,2023-06-30T09:32:00,2023-06-30T09:32:00,120,92,1-2 hours,Yes,Awaiting porter / room release,10,46,36,0,0,0,0
BED-RYJ-2023-00035,2023/24,RYJ,IMPERIAL COLLEGE HEALTHCARE NHS TRUST,LONDON COMMISSIONING REGION,RYJ-SITE-02,General Ward,RYJ-02-0035,2024-02-17T22:10:00,2024-02-17T22:38:00,2024-02-17T23:31:00,2024-02-17T23:31:00,2024-02-18T00:57:00,2024-02-17T23:31:00,2024-02-18T00:57:00,120,167,2-4 hours,No,Equipment not ready,19,53,9,86,0,0,0
BED-RYJ-2023-00036,2023/24,RYJ,IMPERIAL COLLEGE HEALTHCARE NHS TRUST,LONDON COMMISSIONING REGION,RYJ-SITE-01,Surgical Ward,RYJ-01-0036,2023-11-04T21:20:00,2023-11-04T21:39:00,2023-11-04T22:08:00,2023-11-04T22:08:00,2023-11-04T22:08:00,2023-11-04T22:08:00,2023-11-04T22:08:00,120,48,Under 1 hour,Yes,No major blocker,19,29,0,0,0,0,0
BED-RYJ-2023-00037,2023/24,RYJ,IMPERIAL COLLEGE HEALTHCARE NHS TRUST,LONDON COMMISSIONING REGION,RYJ-SITE-02,Medical Ward,RYJ-02-0037,2023-06-11T12:00:00,2023-06-11T12:53:00,2023-06-11T13:30:00,2023-06-11T13:30:00,2023-06-11T13:30:00,2023-06-11T13:30:00,2023-06-11T13:30:00,120,90,1-2 hours,Yes,Cleaning queue,40,37,13,0,0,0,0
BED-RYJ-2023-00038,2023/24,RYJ,IMPERIAL COLLEGE HEALTHCARE NHS TRUST,LONDON COMMISSIONING REGION,RYJ-SITE-02,Surgical Ward,RYJ-02-0038,2023-10-10T13:40:00,2023-10-10T14:54:00,2023-10-10T15:16:00,2023-10-10T15:16:00,2023-10-10T16:16:00,2023-10-10T15:16:00,2023-10-10T16:16:00,120,156,2-4 hours,No,Cleaning queue,74,22,0,60,0,0,0
BED-RYJ-2023-00039,2023/24,RYJ,IMPERIAL COLLEGE HEALTHCARE NHS TRUST,LONDON COMMISSIONING REGION,RYJ-SITE-03,Emergency Observation,RYJ-03-0039,2023-12-31T23:50:00,2024-01-01T00:40:00,2024-01-01T01:33:00,2024-01-01T01:33:00,2024-01-01T01:33:00,2024-01-01T01:33:00,2024-01-01T01:33:00,120,103,1-2 hours,Yes,Cleaning queue,50,53,0,0,0,0,0
BED-RYJ-2023-00040,2023/24,RYJ,IMPERIAL COLLEGE HEALTHCARE NHS TRUST,LONDON COMMISSIONING REGION,RYJ-SITE-06,Surgical Ward,RYJ-06-0040,2023-11-18T02:00:00,2023-11-18T02:23:00,2023-11-18T02:52:00,2023-11-18T02:52:00,2023-11-18T02:52:00,2023-11-18T02:52:00,2023-11-18T02:52:00,120,52,Under 1 hour,Yes,No major blocker,23,29,0,0,0,0,0
BED-RYJ-2023-00041,2023/24,RYJ,IMPERIAL COLLEGE HEALTHCARE NHS TRUST,LONDON COMMISSIONING REGION,RYJ-SITE-02,General Ward,RYJ-02-0041,2023-09-17T07:20:00,2023-09-17T07:25:00,2023-09-17T07:50:00,2023-09-17T07:50:00,2023-09-17T09:27:00,2023-09-17T07:50:00,2023-09-17T09:27:00,120,127,2-4 hours,No,Equipment not ready,5,25,0,97,0,0,0
BED-RYJ-2023-00042,2023/24,RYJ,IMPERIAL COLLEGE HEALTHCARE NHS TRUST,LONDON COMMISSIONING REGION,RYJ-SITE-04,Emergency Observation,RYJ-04-0042,2023-05-15T14:50:00,2023-05-15T15:28:00,2023-05-15T15:46:00,2023-05-15T15:46:00,2023-05-15T16:37:00,2023-05-15T15:46:00,2023-05-15T16:37:00,120,107,1-2 hours,Yes,Equipment not ready,21,18,17,51,0,0,0
BED-RYJ-2023-00043,2023/24,RYJ,IMPERIAL COLLEGE HEALTHCARE NHS TRUST,LONDON COMMISSIONING REGION,RYJ-SITE-06,General Ward,RYJ-06-0043,2023-05-15T20:00:00,2023-05-15T20:18:00,2023-05-15T21:05:00,2023-05-15T21:05:00,2023-05-15T21:05:00,2023-05-15T21:05:00,2023-05-15T21:05:00,120,65,1-2 hours,Yes,No major blocker,6,47,12,0,0,0,0
BED-RYJ-2023-00044,2023/24,RYJ,IMPERIAL COLLEGE HEALTHCARE NHS TRUST,LONDON COMMISSIONING REGION,RYJ-SITE-04,Medical Ward,RYJ-04-0044,2024-02-11T06:10:00,2024-02-11T07:00:00,2024-02-11T07:48:00,2024-02-11T07:48:00,2024-02-11T08:25:00,2024-02-11T10:00:00,2024-02-11T10:00:00,120,230,2-4 hours,No,Cleaning queue,50,48,0,37,0,132,0
BED-RYJ-2023-00045,2023/24,RYJ,IMPERIAL COLLEGE HEALTHCARE NHS TRUST,LONDON COMMISSIONING REGION,RYJ-SITE-01,Surgical Ward,RYJ-01-0045,2023-10-26T07:50:00,2023-10-26T08:08:00,2023-10-26T08:30:00,2023-10-26T08:30:00,2023-10-26T08:30:00,2023-10-26T09:34:00,2023-10-26T09:34:00,120,104,1-2 hours,Yes,Deep clean / isolation reset,18,22,0,0,0,64,0
BED-RYJ-2023-00046,2023/24,RYJ,IMPERIAL COLLEGE HEALTHCARE NHS TRUST,LONDON COMMISSIONING REGION,RYJ-SITE-05,Surgical Ward,RYJ-05-0046,2023-10-02T11:40:00,2023-10-02T11:51:00,2023-10-02T12:22:00,2023-10-02T12:22:00,2023-10-02T12:22:00,2023-10-02T12:22:00,2023-10-02T12:22:00,120,42,Under 1 hour,Yes,No major blocker,11,31,0,0,0,0,0
BED-RYJ-2023-00047,2023/24,RYJ,IMPERIAL COLLEGE HEALTHCARE NHS TRUST,LONDON COMMISSIONING REGION,RYJ-SITE-06,General Ward,RYJ-06-0047,2023-08-15T08:30:00,2023-08-15T09:29:00,2023-08-15T09:59:00,2023-08-15T09:59:00,2023-08-15T09:59:00,2023-08-15T09:59:00,2023-08-15T09:59:00,120,89,1-2 hours,Yes,Cleaning queue,59,30,0,0,0,0,0
BED-RYJ-2023-00048,2023/24,RYJ,IMPERIAL COLLEGE HEALTHCARE NHS TRUST,LONDON COMMISSIONING REGION,RYJ-SITE-04,General Ward,RYJ-04-0048,2023-07-26T19:20:00,2023-07-26T19:55:00,2023-07-26T20:50:00,2023-07-26T20:50:00,2023-07-26T20:50:00,2023-07-26T20:50:00,2023-07-26T20:50:00,120,90,1-2 hours,Yes,Cleaning queue,35,55,0,0,0,0,0
BED-RYJ-2023-00049,2023/24,RYJ,IMPERIAL COLLEGE HEALTHCARE NHS TRUST,LONDON COMMISSIONING REGION,RYJ-SITE-02,Emergency Observation,RYJ-02-0049,2024-01-11T02:30:00,2024-01-11T03:08:00,2024-01-11T03:42:00,2024-01-11T03:42:00,2024-01-11T04:18:00,2024-01-11T03:42:00,2024-01-11T04:18:00,120,108,1-2 hours,Yes,Equipment not ready,18,34,0,36,0,0,20
BED-RYJ-2023-00050,2023/24,RYJ,IMPERIAL COLLEGE HEALTHCARE NHS TRUST,LONDON COMMISSIONING REGION,RYJ-SITE-02,Surgical Ward,RYJ-02-0050,2023-09-26T01:40:00,2023-09-26T02:43:00,2023-09-26T03:03:00,2023-09-26T03:03:00,2023-09-26T03:03:00,2023-09-26T03:03:00,2023-09-26T03:03:00,120,83,1-2 hours,Yes,Clinical hold / late discharge,16,20,0,0,0,0,47
BED-RYJ-2023-00051,2023/24,RYJ,IMPERIAL COLLEGE HEALTHCARE NHS TRUST,LONDON COMMISSIONING REGION,RYJ-SITE-01,Surgical Ward,RYJ-01-0051,2023-06-03T14:00:00,2023-06-03T14:21:00,2023-06-03T15:09:00,2023-06-03T15:09:00,2023-06-03T15:09:00,2023-06-03T15:09:00,2023-06-03T15:09:00,120,69,1-2 hours,Yes,No major blocker,12,48,9,0,0,0,0
BED-RYJ-2023-00052,2023/24,RYJ,IMPERIAL COLLEGE HEALTHCARE NHS TRUST,LONDON COMMISSIONING REGION,RYJ-SITE-03,General Ward,RYJ-03-0052,2023-10-29T16:40:00,2023-10-29T18:30:00,2023-10-29T19:22:00,2023-10-29T19:22:00,2023-10-29T19:22:00,2023-10-29T19:22:00,2023-10-29T19:22:00,120,162,2-4 hours,No,Cleaning queue,86,52,24,0,0,0,0
BED-RYJ-2023-00053,2023/24,RYJ,IMPERIAL COLLEGE HEALTHCARE NHS TRUST,LONDON COMMISSIONING REGION,RYJ-SITE-04,General Ward,RYJ-04-0053,2023-09-18T23:10:00,2023-09-19T00:15:00,2023-09-19T00:39:00,2023-09-19T00:39:00,2023-09-19T00:39:00,2023-09-19T00:39:00,2023-09-19T00:39:00,120,89,1-2 hours,Yes,Cleaning queue,65,24,0,0,0,0,0
BED-RYJ-2023-00054,2023/24,RYJ,IMPERIAL COLLEGE HEALTHCARE NHS TRUST,LONDON COMMISSIONING REGION,RYJ-SITE-02,General Ward,RYJ-02-0054,2023-04-10T18:20:00,2023-04-10T18:28:00,2023-04-10T18:53:00,2023-04-10T18:53:00,2023-04-10T19:39:00,2023-04-10T18:53:00,2023-04-10T19:39:00,120,79,1-2 hours,Yes,Equipment not ready,8,25,0,46,0,0,0
BED-RYJ-2023-00055,2023/24,RYJ,IMPERIAL COLLEGE HEALTHCARE NHS TRUST,LONDON COMMISSIONING REGION,RYJ-SITE-05,Medical Ward,RYJ-05-0055,2023-06-15T23:00:00,2023-06-16T00:20:00,2023-06-16T00:58:00,2023-06-16T00:58:00,2023-06-16T00:58:00,2023-06-16T00:58:00,2023-06-16T00:58:00,120,118,1-2 hours,Yes,Cleaning queue,80,38,0,0,0,0,0
BED-RYJ-2023-00056,2023/24,RYJ,IMPERIAL COLLEGE HEALTHCARE NHS TRUST,LONDON COMMISSIONING REGION,RYJ-SITE-06,General Ward,RYJ-06-0056,2023-07-31T22:30:00,2023-07-31T22:45:00,2023-07-31T23:32:00,2023-07-31T23:32:00,2023-07-31T23:32:00,2023-07-31T23:32:00,2023-07-31T23:32:00,120,62,1-2 hours,Yes,No major blocker,15,47,0,0,0,0,0
BED-RYJ-2023-00057,2023/24,RYJ,IMPERIAL COLLEGE HEALTHCARE NHS TRUST,LONDON COMMISSIONING REGION,RYJ-SITE-05,Critical Care,RYJ-05-0057,2023-05-19T05:20:00,2023-05-19T06:31:00,2023-05-19T06:54:00,2023-05-19T06:54:00,2023-05-19T06:54:00,2023-05-19T06:54:00,2023-05-19T06:54:00,120,94,1-2 hours,Yes,Awaiting porter / room release,21,23,50,0,0,0,0
BED-RYJ-2023-00058,2023/24,RYJ,IMPERIAL COLLEGE HEALTHCARE NHS TRUST,LONDON COMMISSIONING REGION,RYJ-SITE-02,Critical Care,RYJ-02-0058,2023-04-08T17:40:00,2023-04-08T18:40:00,2023-04-08T19:00:00,2023-04-08T19:00:00,2023-04-08T19:00:00,2023-04-08T19:00:00,2023-04-08T19:00:00,120,80,1-2 hours,Yes,Cleaning queue,47,20,13,0,0,0,0
BED-RYJ-2023-00059,2023/24,RYJ,IMPERIAL COLLEGE HEALTHCARE NHS TRUST,LONDON COMMISSIONING REGION,RYJ-SITE-05,Medical Ward,RYJ-05-0059,2023-06-16T22:20:00,2023-06-16T23:15:00,2023-06-16T23:34:00,2023-06-16T23:34:00,2023-06-16T23:34:00,2023-06-16T23:34:00,2023-06-16T23:34:00,120,74,1-2 hours,Yes,Cleaning queue,31,19,24,0,0,0,0
BED-RYJ-2023-00060,2023/24,RYJ,IMPERIAL COLLEGE HEALTHCARE NHS TRUST,LONDON COMMISSIONING REGION,RYJ-SITE-03,Surgical Ward,RYJ-03-0060,2023-12-17T07:40:00,2023-12-17T07:55:00,2023-12-17T08:26:00,2023-12-17T08:26:00,2023-12-17T09:27:00,2023-12-17T08:26:00,2023-12-17T09:27:00,120,107,1-2 hours,Yes,Equipment not ready,15,31,0,61,0,0,0
